Date, Time, mars_base_internal_temperature, mars_base_external_temperature, mars_base_internal_humidity, mars_base_external_illuminance, mars_base_internal_co2, mars_base_internal_oxygen
2026-04-02, 02:49:40, 22.14, 2.37, 52.7, 597.46, 0.1, 5.33
2026-04-02, 02:49:50, 19.31, 14.24, 58.75, 527.2, 0.04, 5.37
2026-04-02, 02:50:00, 26.62, 7.04, 53.05, 582.04, 0.07, 5.83
2026-04-02, 02:50:10, 25.82, 13.11, 53.39, 623.35, 0.06, 4.58
2026-04-02, 02:50:20, 27.99, 4.13, 50.77, 540.38, 0.05, 4.5
2026-04-02, 02:50:30, 19.96, 11.62, 53.39, 616.58, 0.07, 5.95
2026-04-02, 02:50:40, 24.1, 14.04, 55.71, 710.87, 0.08, 6.36
2026-04-02, 02:50:50, 24.67, 12.63, 59.59, 644.7, 0.06, 4.75
2026-04-02, 02:51:00, 19.56, 10.96, 54.25, 714.55, 0.03, 5.79
2026-04-02, 02:51:10, 20.72, 15.83, 52.28, 614.41, 0.02, 6.15
2026-04-02, 02:51:20, 23.04, 5.74, 51.35, 526.52, 0.04, 5.9
2026-04-02, 02:51:30, 23.84, 15.96, 50.08, 691.14, 0.03, 4.3
2026-04-02, 02:51:40, 18.06, 11.9, 55.97, 649.22, 0.07, 6.26
2026-04-02, 02:51:50, 27.7, 12.74, 57.61, 600.06, 0.09, 6.25
2026-04-02, 02:52:00, 23.03, 12.95, 52.63, 515.93, 0.09, 4.13
2026-04-02, 02:52:10, 26.7, 1.84, 57.54, 561.32, 0.02, 6.42
2026-04-02, 02:52:20, 18.73, 15.5, 51.26, 702.88, 0.09, 4.49
2026-04-02, 02:52:30, 23.15, 10.78, 58.06, 596.7, 0.04, 4.84
2026-04-02, 02:52:40, 26.66, 12.57, 56.3, 690.26, 0.07, 5.12
2026-04-02, 02:52:50, 26.19, 13.25, 56.25, 598.55, 0.06, 6.61
2026-04-02, 02:53:00, 19.0, 3.56, 52.72, 678.58, 0.05, 6.84
2026-04-02, 02:53:10, 25.09, 15.97, 57.22, 655.05, 0.08, 6.09
2026-04-02, 02:53:20, 24.48, 10.1, 56.41, 519.57, 0.06, 4.97
2026-04-02, 02:53:30, 19.96, 16.15, 54.24, 552.64, 0.03, 6.67
2026-04-02, 02:53:40, 18.72, 5.74, 56.1, 514.08, 0.02, 6.29
2026-04-02, 02:53:50, 24.41, 8.52, 59.97, 611.01, 0.08, 6.84
2026-04-02, 02:54:00, 23.59, 2.17, 50.16, 546.8, 0.06, 5.81
2026-04-02, 02:54:10, 29.15, 19.49, 52.03, 580.33, 0.08, 4.58
2026-04-02, 02:54:20, 25.03, 7.59, 53.0, 601.1, 0.07, 4.56
2026-04-02, 02:54:30, 25.18, 11.04, 53.11, 678.91, 0.05, 4.47
2026-04-02, 02:54:40, 22.02, 10.27, 50.72, 679.55, 0.03, 6.04
2026-04-02, 02:54:50, 25.56, 16.69, 53.72, 591.8, 0.02, 4.37
2026-04-02, 02:55:00, 23.59, 20.39, 54.23, 510.16, 0.05, 4.95
2026-04-02, 02:55:10, 29.63, 4.33, 59.4, 550.44, 0.09, 6.73
2026-04-02, 02:55:20, 18.54, 20.78, 57.8, 545.52, 0.05, 4.78
2026-04-02, 02:55:30, 21.14, 1.79, 58.82, 614.55, 0.06, 4.23
2026-04-02, 02:55:40, 21.71, 4.14, 56.01, 638.19, 0.05, 4.62
2026-04-02, 02:55:50, 21.54, 17.26, 58.6, 705.03, 0.04, 6.55
2026-04-02, 02:56:00, 20.91, 10.38, 56.14, 664.52, 0.09, 6.42
2026-04-02, 02:56:10, 21.75, 1.56, 54.43, 707.09, 0.07, 4.47
2026-04-02, 02:56:20, 28.64, 15.79, 52.72, 710.93, 0.04, 6.86
2026-04-02, 02:56:30, 23.59, 5.89, 56.58, 685.13, 0.05, 6.6
2026-04-02, 02:56:40, 29.63, 9.37, 53.22, 714.89, 0.07, 4.55
2026-04-02, 02:56:50, 20.43, 8.93, 52.55, 574.73, 0.09, 5.13
2026-04-02, 02:57:00, 19.0, 12.77, 52.75, 572.08, 0.07, 6.61
2026-04-02, 02:57:10, 27.72, 10.41, 52.35, 527.68, 0.03, 6.04
2026-04-02, 02:57:20, 22.54, 9.59, 59.43, 543.62, 0.08, 6.22
2026-04-02, 02:57:30, 19.17, 12.29, 54.04, 517.37, 0.04, 4.49
2026-04-02, 02:57:40, 21.55, 13.37, 52.53, 530.48, 0.06, 6.59
2026-04-02, 02:57:50, 26.88, 12.14, 58.24, 529.94, 0.03, 4.56
2026-04-02, 02:58:00, 25.25, 2.63, 53.77, 573.98, 0.09, 4.47
2026-04-02, 02:58:10, 28.99, 15.66, 57.62, 507.48, 0.06, 6.42
2026-04-02, 02:58:20, 29.48, 1.49, 52.37, 700.58, 0.05, 6.93
2026-04-02, 02:58:30, 21.14, 4.13, 57.02, 595.02, 0.06, 5.69
2026-04-02, 02:58:40, 26.85, 6.86, 56.47, 640.93, 0.04, 6.13
2026-04-02, 02:58:50, 28.42, 0.43, 57.03, 516.63, 0.05, 6.81
2026-04-02, 02:59:00, 22.41, 18.98, 51.02, 524.74, 0.04, 5.78
2026-04-02, 02:59:10, 21.34, 4.22, 53.69, 531.15, 0.02, 4.06
2026-04-02, 02:59:20, 18.03, 15.26, 59.6, 552.2, 0.1, 4.31
2026-04-02, 02:59:30, 20.01, 4.76, 56.22, 606.65, 0.09, 6.18
2026-04-02, 02:59:40, 24.42, 7.83, 54.83, 593.82, 0.02, 4.3
2026-04-02, 02:59:50, 29.4, 19.35, 58.55, 522.58, 0.07, 6.95
2026-04-02, 03:00:00, 28.38, 6.95, 50.7, 571.55, 0.04, 6.18
2026-04-02, 03:00:10, 20.26, 3.24, 52.94, 546.5, 0.04, 6.11
2026-04-02, 03:00:20, 20.1, 0.9, 51.26, 552.31, 0.07, 4.0
2026-04-02, 03:00:30, 19.75, 2.44, 51.02, 651.14, 0.09, 6.99
2026-04-02, 03:00:40, 28.04, 6.31, 59.77, 599.66, 0.03, 6.69
2026-04-02, 03:00:50, 21.52, 1.4, 50.46, 683.62, 0.04, 5.57
2026-04-02, 03:01:00, 28.6, 9.68, 50.15, 579.9, 0.08, 5.39
2026-04-02, 03:01:10, 18.5, 12.23, 57.62, 575.02, 0.03, 4.66
2026-04-02, 03:01:20, 20.03, 19.66, 52.65, 568.95, 0.09, 4.39
2026-04-02, 03:01:30, 18.89, 2.23, 54.41, 612.89, 0.05, 5.3
2026-04-02, 03:01:40, 29.76, 16.55, 57.06, 670.08, 0.06, 4.9
2026-04-02, 03:01:50, 27.73, 5.14, 59.98, 568.16, 0.02, 5.42
2026-04-02, 03:02:00, 22.55, 13.95, 56.34, 539.69, 0.02, 6.58
2026-04-02, 03:02:10, 25.4, 2.81, 59.57, 601.42, 0.03, 4.58
2026-04-02, 03:02:20, 21.06, 14.8, 52.47, 582.56, 0.07, 5.36
2026-04-02, 03:02:30, 26.22, 14.02, 52.82, 673.47, 0.09, 6.82
2026-04-02, 03:02:40, 27.99, 13.7, 53.91, 556.14, 0.08, 5.83
2026-04-02, 03:02:50, 19.81, 20.0, 54.32, 641.7, 0.03, 4.47
2026-04-02, 03:03:00, 29.79, 0.94, 53.4, 599.66, 0.06, 6.63
2026-04-02, 03:03:10, 27.97, 11.41, 52.1, 673.15, 0.03, 4.69
2026-04-02, 03:03:20, 22.83, 1.27, 56.34, 590.06, 0.09, 6.82
2026-04-02, 03:03:30, 19.79, 4.45, 56.56, 527.28, 0.05, 5.35
2026-04-02, 03:03:40, 20.23, 15.01, 55.36, 579.86, 0.09, 6.62
2026-04-02, 03:03:50, 25.27, 15.84, 50.15, 522.23, 0.07, 6.38
2026-04-02, 03:04:00, 19.62, 14.49, 52.53, 512.96, 0.07, 4.47
2026-04-02, 03:04:10, 19.64, 7.31, 53.36, 527.5, 0.05, 5.22
2026-04-02, 03:04:20, 28.61, 16.28, 56.35, 714.2, 0.08, 4.44
2026-04-02, 03:04:30, 19.51, 13.59, 54.24, 676.53, 0.07, 5.27
2026-04-02, 03:04:40, 22.88, 14.92, 59.77, 644.31, 0.08, 4.03
2026-04-02, 03:04:50, 18.02, 1.8, 53.77, 521.04, 0.06, 4.63
2026-04-02, 03:05:00, 25.12, 18.34, 59.52, 714.99, 0.05, 6.28
2026-04-02, 03:05:10, 20.34, 16.8, 56.96, 588.88, 0.1, 4.16
2026-04-02, 03:05:20, 27.3, 11.61, 52.35, 581.18, 0.03, 5.31
2026-04-02, 03:05:30, 21.55, 9.26, 51.23, 628.27, 0.04, 6.47
